Study_Hours,Attendance,Extracurricular,Past_Score,Final_Score
7,80,No,62,82.5814832842637
8,83,No,56,90.81978352564697
11,63,Yes,84,108.6841306288201
12,52,No,89,111.02510108567098
9,99,No,55,100.86796818900496
1,95,No,52,50.50966316915449
4,69,No,72,74.20229219776552
3,50,Yes,84,62.92545099457341
2,54,No,58,49.43094896827937
2,85,Yes,59,58.40417611537121
3,58,Yes,78,65.22680501468155
8,93,Yes,75,102.78799248361288
3,75,Yes,70,60.683363112901375
2,55,Yes,75,56.18646567938396
11,94,Yes,53,99.97539786370173
4,92,No,66,71.59060338530502
1,80,No,55,50.39317782374317
6,54,No,61,73.50925287997538
2,68,Yes,60,58.527459427209706
5,99,Yes,59,73.74032107870097
3,61,No,75,65.38633117182388
6,76,No,61,80.95211908378656
4,59,Yes,67,65.6426121512186
8,57,No,50,73.01249502361911
3,82,No,64,67.68221781499443
7,60,No,66,83.95673102331618
1,94,Yes,51,49.869186187565724
4,87,Yes,67,72.97333833196154
4,73,No,74,67.56269358852398
4,69,Yes,53,63.736110508011855
2,50,No,84,61.773627677611714
11,78,No,77,106.01971557040844
4,83,Yes,78,79.64929284076777
11,74,Yes,87,111.90142207448307
3,70,Yes,55,54.31928407878614
11,75,No,52,100.72773228347087
4,98,Yes,57,69.4321033049322
7,92,Yes,52,84.65611484190833
7,78,Yes,62,83.28117410913283
4,76,No,71,70.64024679693622
7,78,Yes,65,87.70832595273896
11,54,Yes,69,96.02836285127256
6,93,No,63,87.27856749624115
4,71,No,56,67.93231537383804
9,91,No,69,101.17932309885225
11,64,No,53,98.03858987601136
5,63,No,73,73.07045240830317
7,73,No,64,86.27079188340156
6,83,Yes,58,73.57964086418689
8,98,Yes,87,103.74485297886658
10,93,Yes,83,107.3330843705514
9,88,Yes,75,103.07138517006052
11,91,Yes,66,104.54611442238881
10,50,Yes,87,97.66939749922533
8,68,No,79,91.83463756968945
11,76,Yes,62,101.21207921587137
5,52,No,60,63.06670417785483
11,59,No,63,102.56544361159612
7,52,No,64,76.81058261517303
6,53,Yes,76,79.0969223990632
2,75,No,78,68.0070107159968
3,86,Yes,61,68.39177098017673
1,66,Yes,53,42.90790347470144
8,93,No,62,93.50024059905633
5,60,Yes,79,76.88752406150945
8,99,Yes,69,94.0955048134412
1,74,Yes,73,54.042177328986725
7,82,No,81,94.1918719233868
11,94,Yes,88,123.11897610295473
6,98,Yes,51,79.98072981301053
8,53,Yes,50,76.70670210412179
3,88,No,66,66.22460274305726
4,74,No,54,66.56169608462082
11,89,Yes,69,114.08891283252298
10,100,Yes,70,106.3424740795255
1,94,Yes,70,61.61254639985508
1,66,Yes,63,51.901276046544936
6,66,Yes,88,85.99084348934686
12,81,Yes,88,119.79372257641076
2,65,Yes,79,63.462108634489184
10,78,No,69,99.84824349783695
4,57,Yes,52,53.65576653416822
2,82,No,82,64.30488208190526
2,76,Yes,74,67.29180694044192
12,62,Yes,68,103.80575726904372
5,62,No,86,75.9274526780769
6,85,Yes,66,85.41113151593461
5,69,Yes,56,64.48491656128016
12,83,Yes,55,103.06075090196616
12,72,No,65,107.24443762669597
9,55,Yes,50,80.10418996333499
3,75,No,67,65.35559036204502
11,50,No,61,91.53618046731285
5,97,No,70,86.93191667491452
1,80,Yes,62,52.95977916559239
12,85,Yes,67,114.01430864014901
8,95,No,71,99.3348061929386
8,88,No,67,95.93145924560979
7,98,No,67,88.48805251149074
8,54,No,71,79.76228980183919
6,62,Yes,88,80.00301571961454
12,78,Yes,86,120.18190701163375
7,62,Yes,60,78.4851771782749
6,91,No,80,90.4349185673805
6,80,Yes,70,84.03532403461932
7,80,No,51,76.33971635254109
12,81,No,84,116.56665391148205
6,61,Yes,52,72.24320184207441
7,78,No,69,87.09259177290457
7,92,No,50,85.05466545346897
5,90,Yes,61,73.92016845526636
8,54,Yes,75,85.04854003118118
3,69,Yes,81,71.3048019627698
5,68,No,76,79.25861660517761
12,84,No,74,113.22335434125452
7,87,No,61,85.71258780088732
3,81,No,79,72.96583112408035
5,69,Yes,59,70.62746509539814
6,66,Yes,83,84.42429974411984
3,58,No,82,61.48396329326359
1,75,Yes,73,52.62636278998473
8,67,Yes,89,98.01371482335618
8,91,Yes,50,85.76159421038595
5,57,No,73,66.60392889902818
11,50,No,52,85.87032107092963
12,98,No,64,113.1818024328308
4,98,Yes,80,82.91684650713056
3,65,No,74,61.6397655535738
2,64,Yes,66,55.94952818182769
7,95,No,70,90.68427976468558
2,51,Yes,54,49.68814380856016
10,53,Yes,64,95.10763013703468
9,93,Yes,58,93.09870862562813
7,92,No,75,96.17367765214132
8,62,Yes,88,92.38493977456845
9,51,Yes,66,88.59102274508703
8,70,No,52,83.45450709962424
5,70,Yes,81,75.39056910688936
6,50,No,58,68.93604796738262
9,100,Yes,68,97.65338508553225
11,98,No,75,116.8311785934763
3,100,No,69,72.00852831005291
3,89,No,58,65.52112339326565
6,86,Yes,82,93.13741822612509
5,67,No,88,81.44127765974717
5,53,No,80,76.96604412143968
8,50,Yes,54,72.1806760263635
9,75,Yes,61,86.95966541861847
4,59,No,62,59.04316002919839
7,67,Yes,57,73.85762914464138
7,74,No,70,84.54758583811957
9,94,No,51,95.1947575835345
9,94,Yes,57,98.4334651762155
12,64,Yes,58,101.73357809492454
11,50,No,54,95.10924938283489
12,69,No,85,114.9255150246397
10,80,Yes,61,96.33781832979624
12,60,No,50,100.6359009276166
12,73,No,67,106.0502879506157
12,93,Yes,75,114.3264686537007
7,99,No,64,92.65375806682268
10,89,Yes,72,104.09146583284954
2,84,Yes,58,58.30417216923787
7,84,Yes,56,80.88609403969174
1,60,Yes,63,48.94167206085304
10,65,Yes,88,104.73844611059342
3,86,Yes,87,72.26705706205344
11,84,No,60,106.91698936156118
4,93,No,75,80.21286861784876
12,75,No,50,107.34738049350281
8,53,No,58,76.66626169001756
3,76,No,64,67.75705890609208
1,95,Yes,65,58.042951676767174
9,87,Yes,60,93.59152257919516
2,61,No,84,58.96933082551188
1,67,No,77,52.24000976889135
7,92,No,55,86.86054001694129
3,78,No,56,63.74904391070687
10,97,Yes,64,104.25647285050523
2,69,No,81,63.88269316728356
5,97,No,86,88.49564185554293
11,88,No,65,104.44562246005037
8,62,Yes,58,80.38748889534095
6,78,No,50,75.62141776534408
9,89,No,75,104.21076559435471
8,75,No,61,83.78084945992362
7,60,No,84,85.11777077019207
5,80,No,84,81.45376036254707
10,83,No,68,103.45512261616487
3,97,No,57,66.6699305472414
12,53,No,89,111.01922952183428
10,93,No,89,109.39047827795547
12,92,Yes,81,119.04039290548016
4,73,No,61,66.64808050831832
2,64,Yes,61,58.51102931434386
5,58,No,90,75.83647504049937
7,79,No,83,87.87008754016635
6,96,No,79,93.96178706041417
2,72,Yes,78,62.05506855414704
2,51,No,74,52.34744904326736
7,58,Yes,86,86.60736889374967
10,72,Yes,83,109.48723114313967
12,87,Yes,73,113.84785030773033
4,87,Yes,76,77.89825324076784
3,80,Yes,78,74.2148125743827
8,55,Yes,90,95.0587031514693
9,65,No,65,92.40417498196888
9,96,Yes,84,106.45845190548812
10,57,Yes,80,98.13755154955012
2,89,No,90,72.346896334417
6,100,No,77,95.68429453369824
10,73,No,72,105.6004186732979
7,87,Yes,76,90.68079057929683
1,97,No,70,60.75583604999606
8,99,No,63,90.60144164355023
3,96,Yes,70,74.03962126496172
10,64,Yes,54,93.62590030938522
8,82,Yes,55,83.04653184226125
3,91,Yes,82,76.22635905696303
1,81,Yes,66,54.61227199467245
5,66,No,63,70.52052855193243
1,78,No,62,49.117877917067815
9,57,Yes,71,85.8843159799342
6,88,No,61,76.44772740728848
2,86,No,89,70.42051305503784
4,84,Yes,80,75.39713571482918
6,61,No,59,68.93624586670443
4,72,Yes,50,65.3385064404894
8,54,No,60,79.84207252961285
11,62,No,89,106.63187231615717
2,66,No,56,51.61117649418925
9,55,Yes,83,91.75135629276306
3,85,Yes,69,72.05534461568672
7,78,Yes,76,90.74174887109102
11,87,No,85,115.44028876920626
10,69,Yes,73,96.74690181046208
1,78,No,65,58.83848698774921
11,52,Yes,86,106.89149776919383
1,69,No,68,55.119837547250754
6,93,No,85,88.7969746657666
8,71,No,61,81.10278088944364
12,53,No,83,110.92431920806563
8,94,Yes,70,91.37486880651183
7,81,No,86,96.11297474629325
12,51,Yes,82,112.77916498246903
11,81,No,88,109.8585153403811
8,68,No,87,95.0872705241136
12,50,Yes,54,92.47115148161475
8,58,Yes,83,90.40724727027518
6,51,No,61,70.01596211390556
1,65,Yes,58,45.81196365638858
4,100,No,68,75.98224202953341
7,100,No,59,84.24487909397575
6,97,No,79,93.33775915550405
11,88,No,88,118.2706455608211
3,63,No,51,58.31428189153479
9,83,No,79,97.74912831913274
10,100,No,82,111.69266856998787
5,100,No,63,79.49375669255092
4,93,Yes,80,77.96891029901172
3,78,Yes,60,65.77905248038809
8,50,Yes,83,86.49435311491406
10,70,No,61,97.84100914528008
10,76,Yes,62,98.4530041146469
3,94,Yes,76,69.25748974008015
7,80,No,62,83.79774066067321
5,92,Yes,85,85.9289435573894
6,88,No,70,84.19253349281985
11,72,Yes,76,102.23899970336511
4,100,Yes,54,70.93485139709853
10,80,Yes,74,103.79352126093754
7,84,No,83,88.40337350433182
5,90,Yes,89,85.1716057555676
11,80,Yes,80,111.53513928735873
12,86,No,81,120.95196420943111
5,78,No,70,72.09798023439693
9,53,Yes,51,80.55098284843262
2,75,No,64,60.405835768557004
6,51,No,61,68.18954897625626
2,79,Yes,66,62.54442507144085
10,90,No,81,112.92966212847855
5,58,No,65,73.0381794044495
5,56,No,51,64.98723798032123
11,96,Yes,83,114.37511322331225
2,52,Yes,69,53.46706586589346
4,90,Yes,88,86.49068164909232
10,54,Yes,75,91.37424982551488
7,76,Yes,60,80.45248294922104
11,58,Yes,84,104.99628155645168
9,56,Yes,88,98.39549520948353
5,88,Yes,88,87.92243092069003
9,97,No,77,102.98048916328612
5,60,Yes,59,69.16208543183473
2,63,No,84,62.690097783392496
8,67,Yes,82,89.87765934475135
1,100,No,61,58.46281677074239
4,100,Yes,61,74.6900571364278
11,76,Yes,65,103.87430041186121
9,74,No,88,104.48321446312626
12,95,No,50,112.11839266049634
4,99,No,79,78.61756164882595
5,98,Yes,60,80.46813569096045
9,59,Yes,72,86.91338393075604
9,61,Yes,53,84.31335262985586
9,74,No,50,84.51958462374769
4,74,Yes,75,74.75937080745547
6,88,Yes,75,88.42214155846789
5,80,No,68,73.10385883974376
4,57,No,60,56.72684509937359
10,80,No,71,98.25225169753736
9,85,No,50,94.82364198444529
8,81,Yes,54,89.63202548409356
1,82,Yes,76,60.40268808594299
7,78,No,66,80.65648771461169
6,64,No,87,86.65955627406342
12,81,Yes,73,109.10533525114873
5,77,Yes,69,78.5219653101223
5,80,Yes,61,70.96453525231502
10,83,No,65,100.59846360446727
8,87,No,62,90.80327397356949
3,74,No,52,57.38728489488602
9,55,Yes,90,95.53797209030279
3,85,No,87,70.31039636166042
8,51,No,66,77.58613579906918
1,78,Yes,61,48.23183807038377
1,88,No,77,66.39897035232633
4,67,Yes,56,64.03504308421282
10,72,Yes,53,89.9653348473105
1,65,No,85,56.2552165382286
1,85,No,66,57.97728010410085
3,77,No,77,69.70970325564079
11,90,No,78,115.71618183688679
8,75,Yes,53,78.99094721220641
7,85,No,67,89.20423025814952
8,97,Yes,51,85.74514625153547
2,75,No,54,56.284778298756464
1,88,No,87,61.31171906275773
8,81,No,85,97.07727453004163
11,87,No,76,116.19539693588302
9,98,No,65,95.53393851016624
1,56,No,59,44.827272865870775
6,86,No,61,77.91843886959158
9,54,No,72,87.4990432383778
3,81,No,50,56.74755884366337
6,85,No,59,74.99902811658832
3,83,Yes,58,60.70386541390309
10,62,No,80,104.48467602937909
3,98,Yes,75,74.64009697600338
1,83,Yes,84,62.58526227555929
5,72,No,69,77.35361304173335
7,86,No,84,90.26324266979039
8,94,No,88,102.72558107313255
10,68,Yes,68,98.55216565012616
3,98,Yes,55,66.24244870800491
9,60,Yes,88,94.73642472972128
10,100,Yes,86,115.91844458579317
10,78,No,55,94.28005487459718
10,67,No,77,102.59708095030012
8,69,Yes,75,90.21454495990983
9,64,No,80,92.24298669074133
2,80,Yes,54,51.85620464545124
12,77,No,64,111.45262732494426
3,92,No,61,69.78040476521704
3,52,No,81,67.09869073894279
6,63,No,67,71.29938129242731
12,50,No,90,107.99175819338609
7,53,No,57,77.76730269604494
7,60,Yes,66,79.94446568204287
11,89,No,89,120.23415070101498
2,62,Yes,84,65.95481975061423
2,80,Yes,66,59.40484986957645
4,64,No,83,76.96655118899568
1,67,No,55,49.03986615199237
4,96,Yes,51,70.7023179130183
7,88,No,81,97.96473473575423
4,70,Yes,58,63.41833754088684
10,71,No,51,93.74377827267458
7,77,Yes,66,88.20451466914656
2,53,Yes,67,51.4086393512966
5,75,No,57,70.33733522068626
12,91,No,61,108.13512883955497
11,91,Yes,74,115.66947481236495
1,62,No,80,59.639057690658525
8,86,No,53,84.71384928153539
3,77,Yes,84,67.89585266819353
7,57,Yes,77,80.75248703756725
8,91,No,89,102.51671517060933
10,69,No,79,107.28054579842009
5,58,No,67,69.03312247376847
9,93,Yes,74,105.96525356825181
6,58,Yes,72,73.88473199372798
1,93,No,85,68.46300101052043
7,53,Yes,50,74.82748932435007
10,71,Yes,62,93.49349359607382
2,80,No,80,70.04689943855956
1,68,Yes,63,47.01872024672691
9,84,Yes,51,86.06800429943775
9,61,No,83,93.31603123426633
11,70,No,77,108.62860152388832
10,52,No,54,85.99981824904472
4,91,Yes,83,79.01360179498084
8,72,No,77,94.32906739633955
2,82,No,55,56.973794996080194
6,95,No,70,88.44706061884978
1,86,Yes,77,59.46726639469255
11,98,Yes,90,125.28524139892629
8,85,Yes,66,91.50055253595477
7,87,No,53,80.65752992512286
8,74,No,58,86.39060067028532
2,84,Yes,55,57.44816145792194
1,50,No,71,52.10408740101212
12,59,No,51,93.73063787042959
12,100,No,78,121.48568723180567
3,64,No,53,56.27305017370762
10,89,No,85,114.61266110282534
10,95,Yes,50,102.57759125741975
4,50,Yes,50,54.064820155381504
3,53,No,88,61.40968790575249
3,69,Yes,64,63.34495695668133
3,68,No,68,60.97860163225667
3,73,Yes,61,59.45558371636767
12,77,No,57,100.96534767280785
1,55,No,74,50.5067866943459
12,58,No,83,112.45053593746086
11,73,Yes,58,97.2798671883068
10,69,Yes,80,100.85461961722518
6,59,No,90,79.04532669540373
10,76,Yes,88,109.9948056176588
9,84,No,77,98.38418075112676
4,90,Yes,68,78.02234845157815
10,89,No,63,106.40325873724115
9,83,Yes,60,94.85357200692916
3,68,Yes,61,63.19187022908834
6,86,No,81,92.50312878755447
2,91,Yes,88,76.56347578744416
8,99,Yes,75,103.64480723410652
11,93,Yes,82,116.2196672572489
2,69,No,74,62.8657262355979
9,66,No,80,99.29973026763483
3,76,Yes,89,76.23157809322882
12,55,Yes,64,101.93516523858463
4,73,Yes,53,66.51776141870647
1,69,No,78,58.712598812418214
10,87,No,83,106.4734420548466
9,85,No,88,109.16264129176807
4,97,No,86,80.39776519978088
7,64,Yes,85,88.19612843731977
3,99,Yes,88,82.35008704558894
9,74,Yes,69,92.93132282870525
